Start time (UTC), 1145 
 Sky conditions, CO-SDNV 
 Other notes, Setup of ECOLodge Scattering Pit experiment "Boptics". ASD measurements over both 'clean' (A) and 'disturbed' (B) area prior to snow work and clearing. Measured from each corner starting from Stbd-stern corner (1) in clockwise direction. Amy did NIR/ small snow pit/microCT in each A+B. ASD measurements again of both after shoveling/clearing.  
 Ship latitude, 80.75542
 Ship longitude, -0.49817
Position, A1, A2, A3, A4, B1, B2, B3, B4
Surface type, S, S, S, S, S, S, S, S
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,                                   NaN,                                   NaN,                                   NaN,                  NIR in this corner. , Before clearing. NIR in this corner. ,                       Before clearing,                       Before clearing,                       Before clearing
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
350,0.769,0.763,0.778,0.763,0.747,0.782,0.790,0.756
351,0.769,0.764,0.778,0.762,0.748,0.783,0.791,0.757
352,0.770,0.765,0.778,0.763,0.748,0.782,0.791,0.757
353,0.770,0.765,0.779,0.763,0.749,0.783,0.791,0.757
354,0.770,0.764,0.779,0.763,0.749,0.783,0.791,0.758
355,0.770,0.764,0.779,0.763,0.749,0.784,0.791,0.758
356,0.770,0.765,0.779,0.764,0.749,0.783,0.792,0.758
357,0.770,0.765,0.779,0.764,0.749,0.784,0.792,0.759
358,0.771,0.765,0.780,0.764,0.750,0.784,0.792,0.758
359,0.771,0.765,0.780,0.764,0.750,0.784,0.792,0.758
360,0.771,0.765,0.780,0.765,0.750,0.784,0.792,0.759
361,0.771,0.766,0.780,0.764,0.751,0.784,0.792,0.759
362,0.772,0.765,0.780,0.765,0.751,0.785,0.793,0.759
363,0.772,0.765,0.781,0.765,0.751,0.785,0.793,0.759
364,0.772,0.766,0.781,0.765,0.751,0.785,0.793,0.759
365,0.772,0.766,0.781,0.765,0.751,0.785,0.793,0.760
366,0.772,0.766,0.781,0.765,0.752,0.785,0.793,0.760
367,0.772,0.766,0.781,0.765,0.752,0.786,0.793,0.760
368,0.772,0.766,0.781,0.765,0.752,0.786,0.794,0.760
369,0.772,0.767,0.781,0.766,0.752,0.786,0.794,0.761
370,0.773,0.767,0.781,0.766,0.752,0.786,0.794,0.761
371,0.773,0.767,0.782,0.766,0.752,0.786,0.794,0.761
372,0.773,0.767,0.782,0.766,0.753,0.786,0.794,0.761
373,0.773,0.767,0.782,0.766,0.753,0.787,0.794,0.762
374,0.773,0.767,0.782,0.766,0.753,0.787,0.795,0.762
375,0.773,0.767,0.782,0.767,0.753,0.787,0.795,0.761
376,0.774,0.768,0.782,0.767,0.753,0.787,0.795,0.762
377,0.774,0.768,0.783,0.767,0.754,0.787,0.795,0.762
378,0.774,0.768,0.783,0.767,0.754,0.787,0.795,0.762
379,0.774,0.769,0.783,0.767,0.754,0.787,0.795,0.762
380,0.774,0.768,0.783,0.768,0.754,0.788,0.796,0.762
381,0.775,0.768,0.783,0.768,0.754,0.788,0.796,0.763
382,0.775,0.769,0.783,0.768,0.755,0.788,0.796,0.763
383,0.775,0.769,0.784,0.768,0.755,0.788,0.796,0.763
384,0.775,0.769,0.784,0.768,0.755,0.788,0.796,0.763
385,0.776,0.770,0.784,0.769,0.755,0.789,0.796,0.763
